filename,n_samples,epoch,time,f1_macro,n_estimators,criterion,max_depth
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,5,46.568439960479736,0.6291803933313367,120,log_loss,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,0,115.84160566329956,0.7450033837130611,670,log_loss,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,1,94.18580555915833,0.7736752136752137,450,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,2,229.65676712989807,0.7409168081494059,120,entropy,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,3,153.20349049568176,0.741959986136,450,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,4,158.46886348724365,0.684890520875833,120,log_loss,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,5,115.34126091003418,0.6645021645021645,340,log_loss,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,0,65.15876770019531,0.7400793650793651,780,log_loss,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,1,65.92756462097168,0.7320885801128961,120,entropy,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,2,68.16106534004211,0.7056224199081341,890,entropy,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,3,80.94558238983154,0.622072457566681,890,entropy,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,4,94.9897985458374,0.6788499025341131,120,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,500,5,64.01051449775696,0.7191558441558441,120,log_loss,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,0,133.97976541519165,0.7954792641982315,120,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,1,223.4851763248444,0.7065566476560288,450,log_loss,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,2,92.02346229553224,0.7395622895622895,450,log_loss,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,3,114.60968780517578,0.6821355293656296,10,gini,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,4,221.7152049541473,0.5291127573375154,450,log_loss,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-0.0001-data,1000,5,97.1908209323883,0.6295926295926296,560,entropy,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,0,74.52196216583252,0.7873506304878855,450,gini,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,1,52.64063453674317,0.757445230713401,230,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,2,65.31852078437805,0.7222913125785902,670,log_loss,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,3,74.49920868873596,0.6066666666666667,10,gini,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,4,77.5458459854126,0.6817026977087952,10,log_loss,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,5,101.30699515342712,0.7941660074146463,890,log_loss,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,1000,0,205.1821970939636,0.7848778855804617,780,gini,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,1000,1,125.66768217086792,0.7295716868307607,670,entropy,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,1000,2,122.44902610778809,0.7479259643660267,230,log_loss,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,1000,3,83.16288042068481,0.6185670121840334,340,entropy,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,1000,4,160.17272329330444,0.6515151515151515,450,log_loss,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,1000,5,148.59531712532043,0.7001763668430335,340,entropy,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,0,76.45853614807129,0.6929441716675759,340,log_loss,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,1,28.816951513290405,0.7687645687645688,120,entropy,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,2,88.90438485145569,0.7704876822523882,890,log_loss,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,3,82.52582788467407,0.7211930477076032,670,log_loss,60
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,4,125.12605905532835,0.6916658017644006,10,entropy,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,500,5,77.59915900230408,0.6503297555929135,120,entropy,90
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,1000,0,126.47097063064577,0.717344873707135,340,gini,30
src3/319_models/2025-06-09-FacebookAI/roberta-base-1e-05-data,1000,1,194.51792430877688,0.7464646464646464,120,entropy,30
