n_neighbors,metric,score,measure,time,n_optim_iterations,learning_rate,optim,warmup_ratio,weight_decay,path,epoch,classifier,embedding_model,n_samples,iteration
10,cosine,0.7497382882966529,f1_macro,7.90314793586731,7,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
14,l1,0.6049943898073199,f1_macro,11.239351034164429,9,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
5,cosine,0.6355071360237413,f1_macro,6.903856039047241,5,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
12,cosine,0.6857332262221085,f1_macro,6.614935636520386,5,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
7,l1,0.6896915896115728,f1_macro,7.169248580932617,6,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
17,cosine,0.6786776491956666,f1_macro,6.344422817230225,5,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,2
10,cosine,0.631484794275492,f1_macro,6.800641775131226,6,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
16,l2,0.6485756626885659,f1_macro,16.402806758880615,14,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
15,l1,0.6597144204544927,f1_macro,8.269275426864624,6,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
6,cosine,0.6215771536020683,f1_macro,8.334458589553833,7,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
16,l1,0.6188439836280368,f1_macro,8.00273084640503,6,1e-06,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/001/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
18,cosine,0.6213547434477668,f1_macro,6.30905556678772,5,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
9,l1,0.6460895794909348,f1_macro,8.310884714126587,6,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
4,l2,0.6629421376223571,f1_macro,7.465850114822388,6,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
17,l2,0.6720499484135848,f1_macro,7.135541915893555,5,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
14,l1,0.6579137882146573,f1_macro,6.520843744277954,5,1e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/002/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
17,l1,0.6384959039725939,f1_macro,9.084900856018066,7,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
16,cosine,0.6837704311013919,f1_macro,7.065039873123169,6,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
19,l1,0.7067509282394976,f1_macro,7.779680013656616,6,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
18,l2,0.743932763556458,f1_macro,5.970354080200195,5,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
10,cosine,0.7698070274405028,f1_macro,6.011934757232666,5,5e-05,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/003/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
14,l1,0.6291311287226796,f1_macro,8.187344789505005,6,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_1,1,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
18,cosine,0.6418598685265352,f1_macro,7.674530029296875,6,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_2,2,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
17,l2,0.6710345304900817,f1_macro,6.802510023117065,5,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_3,3,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
14,l1,0.7029467279732392,f1_macro,10.022517681121826,8,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_4,4,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
7,l2,0.6842258719878798,f1_macro,9.459205150604248,7,0.0001,adamw_torch,0.1,0.01,./models/FacebookAI/roberta-base/004/embeddings/epoch_5,5,KNeighborsClassifier,FacebookAI/roberta-base,1000,3
5,l1,0.6027881422839406,f1_macro,7.1978936195373535,5,1e-06,adamw_torch,0.1,0.01,./models/google-bert/bert-base-uncased/001/embeddings/epoch_1,1,KNeighborsClassifier,google-bert/bert-base-uncased,1000,1
