,filename,n_samples,epoch,time,f1_macro,n_neighbors,metric,iteration
174,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,1,2.1191844940185547,0.4760879809599775,5,l2,1.0
175,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,1,2.7339956760406494,0.4807493513375866,16,l2,2.0
176,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,1,3.2239978313446045,0.4791153253349575,18,cosine,3.0
177,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,1,3.881864547729492,0.5467924649401495,19,l1,1.0
178,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,1,4.076326370239258,0.4702786702786703,19,l2,2.0
179,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,1,4.437599182128906,0.5306209637357179,18,cosine,3.0
180,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,2,1.444896221160889,0.5650693989538106,18,cosine,1.0
181,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,2,1.1576929092407229,0.5335994592397212,19,cosine,2.0
182,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,2,1.2319602966308594,0.5541537623221814,18,l2,3.0
183,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,2,3.3782172203063965,0.5257997100693731,15,l1,1.0
184,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,2,2.8878188133239746,0.5306762812549012,5,l2,2.0
185,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,2,4.017206192016602,0.5444208909792736,18,l2,3.0
186,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,2,3.25010633468628,0.5508734499342917,13,l1,1.0
187,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,2,3.243137121200561,0.4981133327954137,9,l2,2.0
188,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,2,4.385065317153931,0.5358087306155822,9,l1,3.0
189,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,3,1.3701131343841553,0.5470032643478768,14,l2,1.0
190,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,3,1.6845648288726809,0.5319724242496688,15,l1,2.0
191,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,3,1.2589433193206787,0.5309619519222527,18,l1,3.0
192,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,3,2.020504713058472,0.4746125734848701,19,l1,1.0
193,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,3,2.0959455966949463,0.5716805680773973,13,cosine,2.0
194,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,3,2.493904590606689,0.5193973275734282,2,l1,3.0
195,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,3,3.5201528072357178,0.5703896075252809,15,cosine,1.0
196,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,3,4.350566387176514,0.5474802747032569,19,cosine,2.0
197,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,3,3.365295886993408,0.5400874606347533,12,cosine,3.0
198,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,4,1.489356279373169,0.6042898826645696,17,cosine,1.0
199,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,4,1.429023265838623,0.6271507791443353,14,l1,2.0
200,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,4,1.1786696910858154,0.5557680523433949,8,cosine,3.0
201,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,4,3.4243524074554443,0.6165824915824916,15,cosine,1.0
202,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,4,2.176966667175293,0.5810779617430984,15,l2,2.0
203,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,4,2.1137287616729736,0.5966219418322767,9,l1,3.0
204,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,4,2.794774055480957,0.5643574272309776,17,cosine,1.0
205,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,4,4.359241247177124,0.5139324134347708,16,cosine,2.0
206,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,4,3.4724836349487305,0.5632787954481874,13,l1,3.0
207,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,5,1.3510797023773191,0.5949051013370875,11,l2,1.0
208,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,5,1.4333710670471191,0.5880608153204997,16,l1,2.0
209,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,500,5,1.2505056858062744,0.6260845537441281,11,l1,3.0
210,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,5,2.358194589614868,0.5596918255884963,19,l2,1.0
211,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,5,2.6031641960144043,0.5959965458763797,14,l2,2.0
212,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1000,5,2.752593755722046,0.5371968660614351,18,l1,3.0
213,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,5,4.299933671951294,0.5706732054140535,12,l2,1.0
214,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,5,4.752017498016357,0.5654169493525264,16,l2,2.0
215,src3/2025-05-05-FacebookAI/roberta-base-5e-06-data,1500,5,3.667025804519653,0.546602703781217,17,cosine,3.0
216,src3/2025-05-05-answerdotai/ModernBERT-base-1e-05-data,500,0,1.0926368236541748,0.3817039161369404,18,cosine,1.0
