path,n_samples,epoch,time,score,n_estimators,criterion,max_depth,iteration,embedding_model,learning_rate,classifier,weight_decay,warmup_ratio,optim,n_optim_iterations,measure,n_neighbors,metric,hidden_layer_sizes,max_iter,early_stopping
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,1,152.2553095817566,0.6352793704810521,210.0,log_loss,30.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,1,668.2284033298492,0.6138957816377171,860.0,entropy,30.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,1,351.7631459236145,0.5685439156936183,910.0,log_loss,90.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,1,461.64152669906616,0.5960354001819635,460.0,entropy,60.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,1,246.11875581741333,0.6546892458607229,210.0,log_loss,90.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,1,357.64445066452026,0.6271291414990752,760.0,gini,30.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,2000,1,398.91324496269226,0.6627190677555075,810.0,log_loss,60.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,2000,1,467.3709602355957,0.6296688852811988,860.0,entropy,60.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,2000,1,567.9485416412354,0.5737579406956774,60.0,gini,60.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,2,84.8983883857727,0.5331174368772736,360.0,entropy,60.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,2,102.88926601409912,0.5762007168458781,60.0,log_loss,90.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,500,2,84.58361792564392,0.5945719673204986,210.0,entropy,90.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,2,399.46045207977295,0.6309048655006824,560.0,log_loss,30.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,2,244.12394976615903,0.6023936170212766,260.0,gini,60.0,2,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1000,2,327.9594190120697,0.6206320912203265,210.0,gini,30.0,3,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
src3/2025-05-05-FacebookAI/roberta-base-2e-05-data,1500,2,479.5332086086273,0.6433161520155947,710.0,log_loss,90.0,1,FacebookAI/roberta-base,2e-05,RandomForestClassifier,0.01,0.1,adamw_torch,-1,f1_macro,,,,,
